Text,Sentiment
"من عاشق این محصول هستم !",Positive
"این بدترین تجربه ممکن بود.",Negative
"من احساس میکنم این محصول خوبه.",Neutral
"امروز خیلی خوشحال بودم و روز فوق‌العاده‌ای داشتم.",Positive
"هوا بارانی و دلگیر بود و تمام روز افسرده بودم.",Negative
"امروز یه روز عادی بود، نه خوب و نه بد.",Neutral
"دیدن خانواده‌ام واقعاً حالم را خوب کرد.",Positive
"مشکلات کاری باعث شد کل روزم خراب بشه.",Negative
"روز کاری متوسطی داشتم، کار خاصی انجام نشد.",Neutral
"پیاده‌روی در هوای آفتابی خیلی لذت‌بخش بود.",Positive
"تاخیر در برنامه‌هایم روزمو نابود کرد.",Negative
"کتابی که خوندم خوب بود ولی خیلی تاثیرگذار نبود.",Neutral
"یه کتاب عالی خوندم و خیلی لذت بردم.",Positive
"بحث با یکی از اعضای خانواده حالمو بد کرد.",Negative
"امروز فقط استراحت کردم و کار خاصی انجام ندادم.",Neutral
"بازی امروز تیم مورد علاقه‌ام بی‌نظیر بود.",Positive
"یه خبر بد شنیدم که خیلی اذیتم کرد.",Negative
"روز بدون هیجانی رو سپری کردم.",Neutral
"تجربه یک غذای جدید خیلی عالی بود.",Positive
"تصادفی که دیدم تمام روز ذهنمو مشغول کرد.",Negative
"یه فیلم دیدم که نه خیلی خوب بود و نه بد.",Neutral
"امروز موفق شدم پروژه‌ام را تمام کنم، حس فوق‌العاده‌ای دارم.",Positive
"از خرید امروز اصلاً راضی نبودم.",Negative
"روز کاری پرمشغله‌ای داشتم، ولی همه چیز طبق برنامه پیش رفت.",Neutral
