Text,Sentiment
"من عاشق این محصول هستم !",Positive
"روز قشنگیه",Positive
"این بدترین تجربه ممکن بود.",Negative
"من احساس میکنم این محصول خوبه.",Neutral
"امروز خیلی خوشحال بودم و روز فوق‌العاده‌ای داشتم.",Positive
"هوا بارانی و دلگیر بود و تمام روز افسرده بودم.",Negative
"امروز یه روز عادی بود، نه خوب و نه بد.",Neutral
"دیدن خانواده‌ام واقعاً حالم را خوب کرد.",Positive
"مشکلات کاری باعث شد کل روزم خراب بشه.",Negative
"روز کاری متوسطی داشتم، کار خاصی انجام نشد.",Neutral
"پیاده‌روی در هوای آفتابی خیلی لذت‌بخش بود.",Positive
"تاخیر در برنامه‌هایم روزمو نابود کرد.",Negative
"کتابی که خوندم خوب بود ولی خیلی تاثیرگذار نبود.",Neutral
"یه کتاب عالی خوندم و خیلی لذت بردم.",Positive
"بحث با یکی از اعضای خانواده حالمو بد کرد.",Negative
"امروز فقط استراحت کردم و کار خاصی انجام ندادم.",Neutral
"بازی امروز تیم مورد علاقه‌ام بی‌نظیر بود.",Positive
"یه خبر بد شنیدم که خیلی اذیتم کرد.",Negative
"روز بدون هیجانی رو سپری کردم.",Neutral
"تجربه یک غذای جدید خیلی عالی بود.",Positive
"تصادفی که دیدم تمام روز ذهنمو مشغول کرد.",Negative
"یه فیلم دیدم که نه خیلی خوب بود و نه بد.",Neutral
"امروز موفق شدم پروژه‌ام را تمام کنم، حس فوق‌العاده‌ای دارم.",Positive
"از خرید امروز اصلاً راضی نبودم.",Negative
"روز کاری پرمشغله‌ای داشتم، ولی همه چیز طبق برنامه پیش رفت.",Neutral
"تحویل سریع و بسته‌بندی عالی بود.",Positive
"محصول خراب به دستم رسید.",Negative
"این تجربه خرید بی‌نظیر بود.",Positive
"پشتیبانی پاسخگو نبود.",Negative
"کیفیت فراتر از انتظار من بود.",Positive
"محصول با توضیحات مطابقت نداشت.",Negative
"بسته‌بندی بسیار حرفه‌ای بود.",Positive
"تجربه خرید از این فروشگاه بدترین بود.",Negative
"ارسال به‌موقع و کیفیت عالی.",Positive
"محصول آسیب‌دیده به دستم رسید.",Negative
"این محصول ارزش خرید دارد.",Positive
"هیچ کمکی از طرف پشتیبانی دریافت نکردم.",Negative
"تجربه‌ای فوق‌العاده و رضایت‌بخش.",Positive
"محصول اصلاً انتظاراتم را برآورده نکرد.",Negative
"ارسال سریع و کیفیت بالای محصول.",Positive
"تحویل بسیار دیر و بی‌کیفیت بود.",Negative
"محصول عالی و بسیار کاربردی.",Positive
"این بدترین خرید من بود.",Negative
"از خرید این کالا بسیار راضی هستم.",Positive
"پشتیبانی اصلاً پاسخگو نبود.",Negative
"کیفیت محصول شگفت‌انگیز بود.",Positive
"این تجربه واقعاً افتضاح بود.",Negative
"محصول دقیقاً همان چیزی بود که می‌خواستم.",Positive
"محصول ناقص به دست من رسید.",Negative
"تحویل کالا بی‌نقص و سریع بود.",Positive
"کیفیت محصول افتضاح بود.",Negative
"خدمات این فروشگاه فوق‌العاده است.",Positive
